label,text
1,"Hàng giao nhanh, bàn phím nặng, gói hàng cẩn thận và rất đẹp nha"
1,Led đẹp bấm phím rất thích với giá tiền này thì đúng là một lựa chọn thích hợp
0,"Ủng hộ member hội macbook Việt, nghĩ là mua trong group đc giá tốt với sp tốt hơn , mà chất lượng tệ quá, bỏ thêm 20-25k mua shop khác chất lượng hơn nhiều. Sản phẩm đc cái rẻ, mà chất lượng tệ quá, tính ra rẻ mà không dùng được cũng bằng không "
0,Giá đỡ gập khá khó khăn. Không đẹp như hình. Nói chung không hài lòng lắm
1,"Khá là ưng sản phẩm, đúng với mô tả và đi ok dễ phối đồ"
0,Thời gian chuẩn bị hàng của shop lâu + thời gian giao hàng rất lâu => Giao hàng trong nước mà 10 ngày mới nhận dc hàng. Hàng chưa sử dụng chưa đánh giá dc độ bền
1,Sản phẩm đẹp hợp với giá tiền
1,Sản phẩm chất lượng quá ổn luôn ấy có miếng bảo vệ trẻ em với công tắc riêng từng ổ
1,"sản phẩm tốt, màu như hình , nên mua nha mn , giá cả hợp lý. ảnh minh hoạ thôi vì mình ko chụp lại"
0,Liên hệ shop báo vấn đề thì được trả lời 1 tin nhắn duy nhất “giao diện nào” mình còn không hiểu họ đang nói về vắn đề gì. Quá tệ
0,"Shop ko hổ trợ, chả rep j xứng đáng 1 sao"
1,Sản phẩm tốt chắc chắn. Xứng đáng 5 sao
1,"Bàn xinh nha mọi mọi người 
Đóng gói nhìn cũng tạm mà mấy góc bàn hơi xước 👉👈😢😢😢 còn lại mọi thứ đều ổn
Mấy bà cần để ngồi học hay làm việc gì thì mua đi nha tui thấy khá ổn đó"
1,"Bàn giá rẻ, bị thủng 1 lỗ chắc do vận chuyển nhưng vẫn chấp nhận được"
0,"Mong rằng sẽ không có ai mua phải sản phẩm của shop nữa, hàng giao lâu đặt cả tuần mới về. Hàng về thì bọc được đúng 1 túi xốp ở ngoài không có hộp, bàn thì cũ như hàng đã qua sử dụng, còn bị thiếu ốc cái chân bàn không có ốc rời hẳn ra ngoài. Nhắn tin cho shop thì cả ngày không trả lời, quá chán."
0,Hàng thì đóng không cẩn thận và giao đến thì đã mất chân và rời chân cạnh bàn thì vỡ bàn thì khói bụi bẩn mn không nên mua nhé
0,Chán shop hàng ko đúng mẫu chân bàn còn gỉ như dùng rồi giấy dán thì bung các kiểu mọi ng không nên mua
1,"Hàng xịn nhưng đeo lâu có cảm giác đau cổ tay, 
Ko chống nước đc nên đừng ngủ mà cho vào nước."
1,Đã nhận được hàng đeo rất ok
1,"sản phẩm đóng gói khá kĩ, mẫu mã đẹp và đúng như hình, tặng thêm 1 vòng tay không biết ý nghĩa gì và khắc gì trên đó, nhưng mong là sẽ may mắn, chất lượng thì cần xài để biết rõ hơn, cám ơn shop nhiều nhé. "
1,"với giá rẻ mà tậu được con đồng hồ đẹp như này thì hời thật sự 
tuy là hàng fake nhưng không khác hàng thật nhé có điều nút bấm không được thôi còn lại đều ok hết."
1,"Chủ Shop chăm sóc tư vấn nhiệt tình, vận chuyển giao hàng siêu nhanh 
Chất lượng Đồng hồ đóng hộp cẩn thận vừa rẻ vừa đẹp , chức năng ngày giờ báo thức đèn đủ cả ,kèm PiN , được tặng cả quà đẹp không chê vào đâu được ... "
0,"Hàng kém chất lượng, đặt mua mẫu này shop giao mẫu khác. Hàng không giống như những gì shop mô tả, săn sale đợt 11/11 tưởng hàng ngon ai ngờ quá thất vọng về shop. Lần đầu em mua hàng tại shop và cũng coi là lần cuối cùng luôn. Từ đây về sao ko mua nữa. Mấy người khác đặt mua thì hàng đúng với mẫu còn thứ e nhận đc thì lại ko. Thật sự quá bức súc!!!!"
0,Dùng đc 2 hôm thì hỏng đèn. Shop bảo đc đổi trả trong vòng 3 ngày với bất cứ lí do gì nhưng nhắn 2 hôm shop ko trả lời tin nhắn
0,như qq làm ăn dị k đc rồi
0,Đồng hồ giao về bị lỗi và phần hỗ trợ khách hàng quá tệ
0,"Đồng hồ vào nước, không cho đổi trả, không rep tin nhắn, nói chung k nên mua"
1,Mua 2 lần r ngon tuyệt vời lun á mấy má mua lẹ 
1,"Hình ảnh và vđ mạng tc nhận xu , xx ngon lắm nên mua nhà MN owiii haha, giáo hàng nhanh và ngon lắmm"
0,Ko ra j
1,"Đồ ăn ngon lắm nha , shop phục vụ ok , đóng gói tốt . Nên mua ạ ...."
1,Mua 2 lần r ngon tuyệt vời lun á mấy má mua lẹ
0,Eo nó nhỏ không tưởng nhận mà bất ngờ luôn á chắc đc bằng ngón tay
0,Không hợp khẩu vị của tôi là một trong những ngày kia ra để báo cáo
0,K ra gì
0,Kh như quảng cáo
1,"Giao nhanh đóng gói kĩ ăn vừa miệng 
Đã mua nhiều lần 
Sẽ tip tuc ủng hộ"
1,"Ok, dễ chảy, ăn ngon hơn khi vừa lấy từ tủ lạnh ra"
1,"Hàng đẹp y hình quảng cáo. 
Mới mua lần đầu rất ưng vì cơm dẻo
Giá rẻ nên mua nhé mn. 
Sẽ tiếp tục ủng hộ nữa."
1,"Thơm ngon phù hợp cho người đang muốn giảm cân , no lâu , nói chung mn nên mua , hình ảnh mang tính chất nhận xu"
0,Hàng k như ảnh minh họa. Nếu đóng bằng túi hút chân k hàng sẽ đảm bảo hơn
0,"Gạo đen bên shop ko biết ntn. Thấy bên shop có loại ""gạo lứt đỏ dẻo"". mua ăn thử nhưng cơm cứng khô, ko dẻo. Thất vọng."
0,"Cân thiếu cân , không hút chân không"
1,"Áo đẹp mặc thoải mái k gọng nên k đau .mình mua size L nhưng chắc chỉ mặc dc 1 thời gian nữa thôi lại phải mua tiếp vì giờ chỉ mặc vừa sợ mấy bữa to hơn k mặc dc ns chung là tuyệt vời
Đánh giá và hình ảnh để nhận xu thôi nhe"
1,Giao hàng nhanh đúng mẫu cứ nghĩ sẽ lâu nhận được vì hàng nước ngoài nhưng giao rất nhanh
1,Chân váy đẹp lắm mọi người ơi nên mua nha
0,Size lung tung xl mà eo có 70.mọi người cân nhắc khi mua
0,Giao hàng kh đúng như hình. Đặt mẫu này giao mẫu khác
0,Hàng xấu như đồ cũ màu váy như đồ mặc rồi.trên váy có nhiều đạn nhựa gắn mắc kiểu như được bán đi bắn lại rất nhiều lần mn k nên mua nhé
0,"Vừa nhận đc thì dính luôn 2 lỗi to đùng, mong shop xử lý"
0,"Sản phẩm rẻ mà bị rách. Tiền nào của nấy. Của rẻ là của ôi, của lôi thôi là của mất tiền, k hài lòng"
1,"Sản phẩm dày dặn, khá đẹp, tiện lợi, dễ dàng mag đi"
1,Túi rất đẹp và dày dặn. Đựng vừa luôn màu xám rất đẹp. Bên trong lót bông rất mềm. Mọi nên mua có quai cho dễ cầm. Mình rất hài lòng về sản phẩm cho shop 5 sao.
1,"Hình ảnh và video chỉ mang tính chất minh hoạ, sản phẩm chất lượng rất tuyết vời giao hàng hơi lâu shipper thân thiện túi đẹp nha mọi người"
1,"úi đựng máy tính giống hình shop đăng , giá ổn , nhưng phần quai cầm không được chắc chắn , mới cầm đi 1 vòng mà đã sắp đứt"
0,Rất tệ
0,Hàng kém chất lượng
1,Chất lượng sản phẩm tuyệt vời… shop phục vụ rất tốt…giao hàng nhanh..rất đáng tiền
1,"Sản phẩm chất lượng,  mẫu mã đẹp , ủng hộ shop dài dàiiiiiiiii ạ"
1,"Ngon lắm nha mọi người, lên mua nè lần sau nhất định ủng hộ cho shop tiếp ạ"
0,Chê
0,Kém
1,"Ốp đẹp,y hình,dẻo .lên mua nha mng.mình sẽ ủng hộ nữa nha bbbbn"
1,"Chất lượng tuyệt vời , giao rất nhanh, rất đáng để mua !!!!!!!"
1,Nhẫn xinh lắm mn ạ nên mua nhaaa. Lsau sẽ qlai uho shop ạ
1,"Quốc tế mà giao hàng rất nhanh , hàng không bị móp méo rất tốt!!"
0,"Nhẫn thì ok chứ hộp thì quá tồi, gãy, đóng gói không ra gì. Tồi.cái hộp mua về chắc vứt :))"
0,Dỗm lắm
0,mua phí tiền
1,"kẹp tóc xinh, shop đóng gói cẩn thận
hàng quốc tế nên giao hàng hơi lâu, shipper thân thiện
lần sau sẽ tiếp tục ghé ủng hộ shop"
0,Giao hàng hơi lâu. 
0,"Không thể  chấp nhận nổi , giao sai hàng , shop tưởng đơn ít tiền là giao linh tinh cững được à , cực kì thất vọng , 2 nghìn để mua mấy cái kẹp tóc đỏ xanh đó hả chịu luôp9"
0,"Bán hành ko có sản phẩm, ko đáng bao nhiêu nhưng lm nghề có tâm xíu đi người ơi
May là ko mua thêm gì"
0,"Má ơi mua kẹp tóc giao dây chun buộc tóc,giao thì lâu mà nhận được hàng mang bệnh tức thêm. Shop làm ăn ncl"
0,"Đặt hàng 1 kiểu giao kiểu khác, 3k nhưng mất niềm tin vào shop quá"
0,Chán thực sự tiền nào của nấy nhựa gì mà trông nó ô zề
0,Chả hiểu shop làm ăn kiểu gì đây là cặp đính ngọc trai sao giao hàng thế mà cũng giao đc mất uy tín quá
1,"Giao hàng nhanh, shop gói hàng cute quá tr, nhiều lớp, truyện kh bị df, mãi iu sốp"
1,"Đẹp, giao hàng nhanh, đóng hói kĩ, đủ số lượng . Nên ủng hộ."
1,"Đóng gói cẩn thận. Sách đẹp , được hoàn xu hihi"
0,"Bút này mua chỉ lấy vỏ thôi còn tự thay ruột khác chứ mua 5 cây của shop không cây nào ra mực, có ra cũng không đều cố ghi cũng chẳng được nói chung là chê :)"
0,Bút thì đẹp mà viết mực ra ko đều lúc đậm lúc thì nhạt
1,Chưa nhận đc hàng mà lại để đã giao thành công 🙂
0,"KHÔNG NÊN MUA BÚT GEL MNG NHÉ!!! 
Mình mua tổng 4c các loại nhưng phải cho đi hết
bút viết rất xấu, ngòi thì bé đấy nhưng ra nhiều mực nên nét rất thô, lại còn tậm tịt, đừng thấy 0,38mm mà ham, với kinh nghiệm 1 con nghiện bút thì mình khuyên mng thật lòng k nên mua phí tiền"
0,Tôi không hề nhận được hàng và 1 cuộc gọi nào của shiper??? Shop làm ăn kiểu gì vậy ? Hay shipper vớ vẩn tự hủy hàng ?!
0,"Ko nhận đc sản phẩm, shipper ko giao hàng cho mk cũng ko gọi cuộc nào"
1,"Giao hàng nhanh sản phẩm tốt đúng, hợp giá tiền quá rẻ đi đẹp bền. Có nhiều người thức đêm không phải vì mất ngủ, cũng chẳng phải vì công việc. Mà chỉ đơn giản là tinh thần của họ đã quá mỏi mệt rồi. Có những ngày chênh vênh đến kì lạ. Một chút đau thương, một chút mệt mỏi xen lẫn cùng những lo lắng miên man mà chẳng biết chia sẻ với ai. Tốt cho 5 sao sẽ ủng hộ tiếp"
1,"mình mua cho mẹ mẹ khen quá chời luôn á hêhhe, dép to í nên lùo 1 size nhá"
1,"Áo xinh lắm nha
Mặc một lúc thì hơi ngứa á
Hình ảnh mang tc minh hoạ"
1,"Đã nhận đủ hàng bên shop, đồ tốt giá rẻ nên mua nhé bà con, tặng shop 5 sao nè, thanks"
1,Áo đẹp mặc vào thích lắm. Có mút ngực bên trong. Đáng đồng tiền
0,tròi oi shop mua quần màu trắng shop gửi 2 quần màu da buồn ơi là buồn nhưng chất đc
0,"Shop làm ăn gì chán vậy trời, mua 5 cái giao 4 cái. Chất lượng thì không biết xài bền không sờ thì mát mát. Đề nghị shop xử lí đơn hàng này lại giùm"
0,"giao hàng nhanh, đủ số lượng nhưng ống quần may bé, bó sát vào bẹn mặc rất khó chịu dù mình chọn đúng size mông và bụng cũng vừa"
0,"Quần form rất nhỏ luôn. 3 màu cùng sz nhưng k bằng nhau. Mn xem ảnh là thấy. Màu be, trắng to hơn đen nhưng cũng nhỏ lắm dù m chỉ 45kg. Chất cũng mỏng, dễ nhão hơn m mua shop khác. Khá thất vọng. Đây là lần đầu m rate 2sao trên shopee luôn. Điểm cộng lớn nhất có lẽ là shop có che tên sp"
0,Để shop tự chọn màu 7 cái toàn xanh vs hồng bó tay
1,Hàng xịn vãi nồi luôn ae ạ 🤣 Nhạc nhẹ thôi mà bass dập căng đét luôn. Đã thế còn full nguyên seal mới chịu. 🤧 Bóc seal mà thấy đã cái nư luôn shop ạ. Cảm ơn shop vì đã bọc chống sốc gói hàng cẩn thận. Mình định nhắc shop mà ai ngờ shop gói kĩ quá. Chất lượng phải là 10 điểm🥰🥰
0,Son lỏng dễ khô môi kh nên mua nhé vỏ son đẹp giao hàng nhanh
0,tô cho đỡ giống chết trôi
1,Chắc chắn hơn tưởng tượng. Giao hàng nhanh. Đóng gói cẩn thận. 5 sao lun
1,"Chắc chắn, dễ dùng, dễ lắp. Quá chim ưng"
0,"màu ko giống ảnh, thực chất là màu cam rất tươi =))) khá thất zọng, khum nên mua 👍"
1,Rất đẹp. Chắc chắn. Tôi rất hài lòng. Cám ơn shop rất nhiều!
0,Mùi son hôi son lên hôg giốg như trên hình hình chỉ mình hoạ chứ hk ohair màu sơn màu sơn mìn Nó nấu gạch xấu lắm lun hic hic
1,Hàng xịn xò phết mọi người ơi! Gõ word dc luôn! Nói chung là quá tốt! Quá sắc sảo luôn! Đây l
0,Màu nhìn Ko giống ảnh lém . Mà Mùi son  hôi qé trời ( hửi nhìu hơi bị đau đầu đó nha )
1,hàng tôi ưng ý và đánh giá nhiều nhất từ trc giờ! Cảm ơn shop!
0,"Son hơi khô với bay mùi lộ viền môi nữa mà sale giá rẻ nên chấp nhận, mua về tô chơi thôi, đóng gói thì rất ok nha, hàng quốc tế nên đi lâu, phần cập nhật đơn hàng thì mình nhận mãi hơn 1 tuần sau mới cập nhận đã giao để có thể đánh giá sản phẩm"
1,"Hàng như hình, rất chắc chắn nặng 700g, đáng đồng tiền bát gạo"
0,"Chất son lỏng, nhanh khô, độ lì hầu như là không, son lên thì màu sẽ có xu hướng chói hồng hơn xíu xiu so với trên ảnh, không trầm như trên bảng màu."
1,Đã nhận được hàng dễ lấp ráp cầm nặng tay khá chắc chắn giao hàng y mẫu mình rất ưng ý mọi người nên mua nha
0,"Son màu ko chuẩn , swatch or đánh lên môi đều k giống ảnh mẫu Màu 936 cam đất đánh lên thành đỏ thẫm Màu 908 đỏ cam đánh lên thành hồng đỏ thẫm Nói chung thất vọng quá 😓😓😓 Chất son lỳ Giá sale rất rẻ"
1,"Ôi trời ơi giá đỡ này xịn lắm luôn íiiiii Sản phẩm y chang hình và mô tả không sai gì luôn, còn đẹp hơn nữa chứ. Chất liệu rất cứng cáp và chắc chắn nhé không thể bị đổ được luôn ấy. Rất đáng tiền và nên mua nhe cả nhàaaa"
0," chất lượng sp kém, không thích, ai chê nhanh trôi chứ t thấy son môi chứ không phải xăm môi, t lau toét mỏ ra nó còn không hết, vẫn còn lớp màu hồng. Chê những cái đáng chê nha. Mua sale thì mua về chơi thui, chứ giá gốc k bằng 1 nửa black rouge chất lượng sp kém, không thích, ai chê nhanh trôi chứ t thấy son môi chứ không phải xăm môi, t lau toét mỏ ra nó còn không hết, vẫn còn lớp màu hồng. Chê những cái đáng chê nha. Mua sale thì mua về chơi thui, chứ giá gốc k bằng 1 nửa black rouge"
1,Sản phẩm rất đẹp Tiền nào của đó Shop giao hàng nhanh. Đơn vị vận chuyển J&T cg giao nhanh. Rất hài lòng
0,"Màu lên môi k đẹp như hình nhìn rất già với da xuống tone. Phải mix thêm cây deep soul của rom mới ok, bôi lên môi không có dưỡng bám chặt trên môi mà còn bong da môi nữa chứ. Khá thất vọng với trải nghiệm lần này"
1,"Sp chắc chắn, shop giao hàng cẩn thận. Hàng đóng gói cẩn thận có thể thay đổi nhiều chiều khác nhau Mn lên mua thử ạ"
0,"Son quá chán, chất quá lỏng, mua một màu giao hàng mọt màu ..........
"
1,"Giao hàng khá lâu chắc do mùa dịch, đóng gói cẩn thận, hàng chất lượng, đáng để dùng"
